286.18	1056.67	0	0.01	19.03	18.05	19.03		7.5	618.32	0	0.01	30.07	29.85	30.07		31.73	823.58	0	0.01	39.65	39.23	39.65		1.58	614.93	0	0.01	35.5	35.45	35.5		10.48	648.92	0	0.01	37.28	37.25	37.28		39.47	623.03	0	0.01	31.92	31.92	31.92		5.47	610.32	0	0.01	35.65	35.05	35.65
458.77	1183.6	0	0.01	21.2	20.68	21.2		124.53	680.72	0	0.01	32.15	30.78	32.15		228.78	984.08	0	0.01	41.15	40.63	41.15		25.4	778.47	0	0.01	43.1	41.35	43.1		5.86	685.85	0	0.01	40.98	40.12	40.98		29.37	588.93	0	0.01	37.15	37.15	37.15		17.75	627.08	0	0.01	35.67	34.87	35.67
542.15	1054.35	0	0.01	15.73	14.75	15.73		235.08	659.62	0	0.01	30.72	30.61	30.72		293.94	812.44	0	0.01	41.24	39.27	41.24		121.98	724.07	0	0.01	37.55	37.48	37.55		111.6	623.7	0	0.01	39.63	39.63	39.63		86	761.73	0	0.01	34.97	34.97	34.97		165.88	735.82	0	0.01	35.87	35.47	35.87
581.55	1009.15	0	0.01	15.5	14.63	15.5		372.52	654.15	0	0.01	32.81	30	32.81		187.48	694.45	0	0.01	35.52	35.52	35.52		64.32	627.1	0	0.01	34.08	34.08	34.08		175.27	671.6	0	0.01	40.6	40.6	40.6		148.6	829.3	0	0.01	50.17	48.57	50.17		234.33	681.13	0	0.01	33.78	33.78	33.78
567.25	911.88	0	0.01	16.87	16.47	16.87		353.15	623.24	0	0.01	40.5	39.61	40.5		234.68	635.13	0	0.01	35.75	34.45	35.75		277.29	613.03	0	0.01	38.07	37.78	38.07		83.57	648.14	0	0.01	38.85	38.85	38.85		83.08	729.43	0	0.01	46.1	44.83	46.1		663.36	639.36	0	0.01	32.45	32.45	32.45
545.33	886	0	0.01	7.68	6.7	7.68		21.08	586.88	0	0.01	10.89	10.89	10.89		1.5	624.9	0	0.01	9.88	8.85	9.88		17.52	637.28	0	0.01	11.8	11.8	11.8		8.8	637.08	0	0.01	16.38	15.45	16.38		7.38	650.27	0	0.01	17.33	16.97	17.33		5.87	659.62	0	0.01	15.73	15.73	15.73
651.93	886.95	0	0.01	5.17	4.7	5.17		30.75	613.45	0	0.01	6.58	6.58	6.58		68.6	614.58	0	0.01	8.6	7.62	8.6		17.97	628.24	0	0.01	10.83	10.83	10.83		70	626.22	0	0.01	7.98	7.22	7.98		41.63	637.27	0	0.01	17.22	17.22	17.22		27.87	636.82	0	0.01	17.2	17.2	17.2
640.93	893.48	0	0.01	6.3	5.07	6.3		127.3	610.92	0	0.01	5.07	5.07	5.07		168.33	618.25	0	0.01	6.65	5.83	6.65		95.1	623.68	0	0.01	7.67	7.32	7.67		88.32	610.77	0	0.01	14.35	12.45	14.35		112.8	628.83	0	0.01	19.15	18.72	19.15		90.22	637.9	0	0.01	17.57	17.57	17.57
626.67	884.3	0	0.01	5.07	4.5	5.07		203.23	631.68	0	0.01	4.07	4.07	4.07		216.95	631.93	0	0.01	7.38	6.98	7.38		170.17	594.88	0	0.01	10.5	10.05	10.5		115.18	611.67	0	0.01	12.45	11.48	12.45		57.05	633.5	0	0.01	20.73	20.73	20.73		169.55	617.43	0	0.01	16.23	16.2	16.23
591.93	870.9	0	0.01	6.27	6.27	6.27		790.2	613.5	0	0.01	6.04	6.04	6.04		149.55	614.37	0	0.01	7.95	7.95	7.95		315.62	613.88	0	0.01	10.85	9.52	10.85		86.45	589.23	0	0.01	11.27	11.27	11.27		36.48	637.33	0	0.01	17.17	17.03	17.17		185.92	613.18	0	0.01	19.08	17.6	19.08
